dates,rates
dates,110.5
DATE,110.5
1990-01-02,146.2
1990-01-03,145.7
1990-01-04,143.4
1990-01-05,143.8
1990-01-08,144.1
1990-01-09,145.2
1990-01-10,145.2
1990-01-11,145.4
1990-01-12,145.4
1990-01-15,110.5
1990-01-16,145.5
1990-01-17,145.5
1990-01-18,146.1
1990-01-19,145.6
1990-01-22,146.4
1990-01-23,146.1
1990-01-24,145.3
1990-01-25,144.4
1990-01-26,143.4
1990-01-29,143.1
1990-01-30,144.1
1990-01-31,144.6
1990-02-01,144.9
1990-02-02,145.4
1990-02-05,145.4
1990-02-06,145.1
1990-02-07,145.5
1990-02-08,145.4
1990-02-09,145.2
1990-02-12,144.2
1990-02-13,144.4
1990-02-14,144.3
1990-02-15,144.4
1990-02-16,144.2
1990-02-19,110.5
1990-02-20,145.4
1990-02-21,145.3
1990-02-22,145.9
1990-02-23,146.9
1990-02-26,148.8
1990-02-27,148.6
1990-02-28,148.8
1990-03-01,149.7
1990-03-02,150.3
1990-03-05,149.8
1990-03-06,149.8
1990-03-07,151.2
1990-03-08,150.8
1990-03-09,151.3
1990-03-12,152.4
1990-03-13,152.6
1990-03-14,152.2
1990-03-15,152.6
1990-03-16,152.4
1990-03-19,153.5
1990-03-20,153.9
1990-03-21,154.2
1990-03-22,155.1
1990-03-23,153.9
1990-03-26,156.5
1990-03-27,157.4
1990-03-28,158.8
1990-03-29,156.8
1990-03-30,157.8
1990-04-02,158.9
1990-04-03,159.1
1990-04-04,158.6
1990-04-05,157.7
1990-04-06,157.6
1990-04-09,157.5
1990-04-10,158.6
1990-04-11,158.3
1990-04-12,158.2
1990-04-13,158.8
1990-04-16,159.4
1990-04-17,159.9
1990-04-18,159.1
1990-04-19,156.5
1990-04-20,157.8
1990-04-23,157.7
1990-04-24,158.7
1990-04-25,158.7
1990-04-26,158.8
1990-04-27,158.9
1990-04-30,158.8
1990-05-01,158.8
1990-05-02,158.3
1990-05-03,158.2
1990-05-04,158.4
1990-05-07,158.0
1990-05-08,157.9
1990-05-09,156.4
1990-05-10,157.0
1990-05-11,152.7
1990-05-14,152.8
1990-05-15,151.4
1990-05-16,151.4
1990-05-17,152.4
1990-05-18,152.8
1990-05-21,153.5
1990-05-22,151.6
1990-05-23,151.2
1990-05-24,151.6
1990-05-25,149.7
1990-05-28,110.5
1990-05-29,150.9
1990-05-30,151.3
1990-05-31,152.6
1990-06-01,151.4
1990-06-04,151.6
1990-06-05,152.6
1990-06-06,152.6
1990-06-07,152.5
1990-06-08,153.5
1990-06-11,154.5
1990-06-12,154.4
1990-06-13,154.8
1990-06-14,154.1
1990-06-15,154.2
1990-06-18,153.7
1990-06-19,153.6
1990-06-20,154.0
1990-06-21,154.8
1990-06-22,154.8
1990-06-25,155.4
1990-06-26,155.2
1990-06-27,154.4
1990-06-28,153.2
1990-06-29,152.4
1990-07-02,151.3
1990-07-03,151.2
1990-07-04,110.5
1990-07-05,150.8
1990-07-06,151.0
1990-07-09,151.1
1990-07-10,148.9
1990-07-11,148.7
1990-07-12,148.6
1990-07-13,147.5
1990-07-16,148.0
1990-07-17,148.4
1990-07-18,147.3
1990-07-19,148.0
1990-07-20,149.0
1990-07-23,148.4
1990-07-24,148.4
1990-07-25,148.9
1990-07-26,150.4
1990-07-27,149.6
1990-07-30,148.2
1990-07-31,146.1
1990-08-01,147.2
1990-08-02,149.6
1990-08-03,149.9
1990-08-06,149.8
1990-08-07,149.8
1990-08-08,150.2
1990-08-09,149.8
1990-08-10,150.2
1990-08-13,150.4
1990-08-14,149.5
1990-08-15,147.4
1990-08-16,148.4
1990-08-17,147.6
1990-08-20,146.9
1990-08-21,146.4
1990-08-22,145.8
1990-08-23,146.6
1990-08-24,146.6
1990-08-27,144.4
1990-08-28,143.5
1990-08-29,143.6
1990-08-30,144.3
1990-08-31,143.9
1990-09-03,110.5
1990-09-04,143.6
1990-09-05,141.7
1990-09-06,141.0
1990-09-07,140.1
1990-09-10,139.2
1990-09-11,139.8
1990-09-12,137.7
1990-09-13,137.4
1990-09-14,136.7
1990-09-17,137.0
1990-09-18,137.5
1990-09-19,137.5
1990-09-20,136.9
1990-09-21,136.9
1990-09-24,136.1
1990-09-25,137.4
1990-09-26,137.3
1990-09-27,138.4
1990-09-28,138.3
1990-10-01,136.9
1990-10-02,137.0
1990-10-03,136.1
1990-10-04,133.9
1990-10-05,132.4
1990-10-08,110.5
1990-10-09,130.3
1990-10-10,130.0
1990-10-11,130.0
1990-10-12,128.6
1990-10-15,128.2
1990-10-16,127.2
1990-10-17,125.3
1990-10-18,125.0
1990-10-19,125.8
1990-10-22,126.0
1990-10-23,127.5
1990-10-24,128.0
1990-10-25,127.3
1990-10-26,128.0
1990-10-29,128.4
1990-10-30,129.1
1990-10-31,130.0
1990-11-01,130.5
1990-11-02,128.6
1990-11-05,126.8
1990-11-06,127.3
1990-11-07,128.2
1990-11-08,129.9
1990-11-09,129.7
1990-11-12,110.5
1990-11-13,129.6
1990-11-14,129.6
1990-11-15,129.3
