Year,PPP
1980,1068.091
1981,1218.354
1982,1336.487
1983,1437.751
1984,1556.708
1985,1689.974
1986,1781.351
1987,1911.765
1988,2113.467
1989,2303.045
1990,2506.131
1991,2679.433
1992,2763.735
1993,2814.584
1994,2899.876
1995,3038.574
1996,3191.183
1997,3278.06
1998,3272.847
1999,3307.88
2000,3476.346
2001,3568.39
2002,3625.526
2003,3753.839
2004,3938.871
2005,4135.675
2006,4321.795
2007,4504.456
2008,4534.631
2009,4303.873
2010,4534.093
2011,4629.402
2012,4799.612
2013,5021.591
2014,5034.456
2015,5200.906
2016,5159.726
2017,5248.419
2018,5409.184
2019,5484.057
2020,5317.921
2021,5675.963
2022,6138.905
2023,6456.527

