Year,PPP
1980,2857.325
1981,3207.025
1982,3343.8
1983,3634.025
1984,4037.65
1985,4339
1986,4579.625
1987,4855.25
1988,5236.425
1989,5641.6
1990,5963.125
1991,6158.125
1992,6520.325
1993,6858.55
1994,7287.25
1995,7639.75
1996,8073.125
1997,8577.55
1998,9062.825
1999,9631.175
2000,10250.95
2001,10581.925
2002,10929.1
2003,11456.45
2004,12217.175
2005,13039.2
2006,13815.6
2007,14474.25
2008,14769.85
2009,14478.05
2010,15048.975
2011,15599.725
2012,16253.95
2013,16843.225
2014,17550.675
2015,18206.025
2016,18695.1
2017,19477.35
2018,20533.075
2019,21380.95
2020,21060.45
2021,23315.075
2022,25464.475
2023,26854.599
